Landslide_ID,Latitude,Longitude,State,District,Date_Occurred,Landslide_Type,Area_sqm,Casualties,Damage_Level,Trigger,Validation_Status
LS_00001,30.621781,93.965,Karnataka,Lahaul Spiti,1999-02-14,Rock slide,6583.728467727246,0,Low,Heavy Rainfall,Field Verified
LS_00002,34.063233,86.623415,Sikkim,Pithoragarh,2002-08-07,Complex landslide,6156.250308522952,0,High,Earthquake,Field Verified
LS_00003,29.272775,77.851495,Himachal Pradesh,Kinnaur,1999-05-04,Rock slide,1813.7686473023857,0,Low,Heavy Rainfall,Satellite Identified
LS_00004,28.976457,80.135038,Sikkim,Malappuram,2006-12-02,Rock slide,2281.386091104235,0,Medium,Heavy Rainfall,Satellite Identified
LS_00005,15.701389,72.232252,Uttarakhand,Shimla,2010-06-24,Complex landslide,4676.66510324805,0,Low,Human Activity,Report Based
LS_00006,18.509166,73.523069,Jammu & Kashmir,Kinnaur,2010-06-19,Earth slide,513.8865750125312,0,Low,Heavy Rainfall,Satellite Identified
LS_00007,28.24072,93.095728,Assam,Chamoli,2002-02-28,Earth slide,1497.2888842034304,0,Low,Heavy Rainfall,Satellite Identified
LS_00008,10.403108,76.847923,Uttarakhand,Pathanamthitta,2009-11-12,Debris slide,7461.226885690704,1,Medium,Heavy Rainfall,Report Based
LS_00009,9.150403,72.979914,Sikkim,Kullu,2001-07-15,Earth slide,231.40982843415978,0,Low,Heavy Rainfall,Satellite Identified
LS_00010,30.497273,79.899625,Uttarakhand,West Garo Hills,2001-02-13,Rock slide,3912.03541603873,0,Medium,Heavy Rainfall,Report Based
LS_00011,18.039182,72.993578,Kerala,Chamoli,2001-07-31,Complex landslide,27.687101879677375,0,Medium,Heavy Rainfall,Satellite Identified
LS_00012,8.96258,73.792329,Tamil Nadu,Shimla,2018-05-04,Earth slide,615.7505230222482,0,Medium,Heavy Rainfall,Field Verified
LS_00013,12.04277,73.625917,Karnataka,South Garo Hills,2007-05-26,Debris slide,6539.3789197887045,0,Medium,Heavy Rainfall,Field Verified
LS_00014,32.992714,89.976486,Kerala,Shimla,2021-12-17,Topple,4119.437474429144,0,Low,Heavy Rainfall,Satellite Identified
LS_00015,8.330449,72.539457,Sikkim,Lahaul Spiti,2010-02-09,Earth slide,159.6684064652691,0,Low,Heavy Rainfall,Report Based
LS_00016,29.745046,82.618041,Uttarakhand,Idukki,2008-04-10,Complex landslide,7043.745737692917,0,Low,Heavy Rainfall,Field Verified
LS_00017,20.086069,76.040602,Kerala,Dakshina Kannada,2000-12-20,Earth slide,5017.470952602655,0,Medium,Heavy Rainfall,Satellite Identified
LS_00018,31.775396,90.956243,Assam,East Khasi Hills,2020-05-24,Topple,11321.213246431156,0,Low,Heavy Rainfall,Satellite Identified
LS_00019,33.726103,92.075342,Jammu & Kashmir,Lahaul Spiti,2009-11-18,Debris flow,34.88204590825323,0,Low,Heavy Rainfall,Field Verified
LS_00020,12.388997,76.714549,Tamil Nadu,Lahaul Spiti,2015-12-01,Earth flow,1951.919014407372,0,Medium,Heavy Rainfall,Report Based
LS_00021,20.511815,73.258911,Uttarakhand,Chamoli,2002-01-29,Earth flow,3438.296392319236,0,Low,Heavy Rainfall,Satellite Identified
LS_00022,31.518753,75.081054,Arunachal Pradesh,Pithoragarh,2016-12-08,Complex landslide,1633.1296050518467,1,Low,Heavy Rainfall,Satellite Identified
LS_00023,20.813456,73.210276,Sikkim,Mandi,2018-12-30,Rock fall,5575.7750514864665,0,Low,Heavy Rainfall,Satellite Identified
LS_00024,32.426141,87.304124,Karnataka,East Khasi Hills,2022-02-01,Earth slide,3836.926249761744,0,Medium,Heavy Rainfall,Field Verified
LS_00025,28.285426,86.408752,Assam,Shimla,2011-03-02,Topple,5659.258671336745,0,Low,Heavy Rainfall,Satellite Identified
LS_00026,29.220565,88.509693,Sikkim,Shimla,2009-10-25,Debris slide,2444.793504905509,1,Low,Heavy Rainfall,Field Verified
LS_00027,20.021017,76.386697,Arunachal Pradesh,Kinnaur,2020-10-09,Earth flow,1491.6368503074445,0,Medium,Heavy Rainfall,Satellite Identified
