Point_ID,Latitude,Longitude,Elevation,Slope,Aspect,Curvature,TRI,TPI,Annual_Precipitation,Monsoon_Precipitation,Max_Daily_Precipitation,Antecedent_Rainfall_7d,Antecedent_Rainfall_15d,Antecedent_Rainfall_30d,Mean_Temperature,Min_Temperature,Max_Temperature,Temperature_Range,Lithology,Fault_Density,Distance_to_Fault,NDVI,Land_Use,Forest_Cover,Distance_to_Road,Road_Density,Slope_Precipitation,Elevation_Slope,Aspect_Relief,Susceptibility_Score,Susceptibility_Class
P_000001,9.125184,73.416403,7354.86,21.84,126.23,0.0614,0.01,-22.55,331.3,219.5,14.4,163.9,65.6,85.0,20.1,9.0,31.3,22.3,2,0.041,881.4,0.465,4,0.208,483.7,0.083,7.23,18.15,0.0495,4.5,3
P_000002,27.334557,76.24436,5182.97,13.26,160.46,-0.051,22.43,7.3,925.8,739.8,76.6,50.2,207.7,65.3,33.0,26.6,39.3,12.7,6,0.01,459.3,0.772,2,0.116,2298.7,1.209,12.27,7.77,-0.0171,1.37,1
P_000003,35.355993,83.086684,5990.93,22.61,47.17,-0.0429,24.88,0.93,201.9,132.2,22.7,56.6,195.2,30.9,20.1,15.8,24.4,8.7,4,0.507,1627.1,0.358,2,0.333,95.3,1.283,4.56,15.31,-0.0314,3.47,2
P_000004,27.9891,71.685976,3156.29,13.47,300.81,-0.1444,3.35,6.87,34.3,23.1,106.6,53.8,254.8,1001.8,17.2,12.8,21.7,8.8,4,1.193,3263.1,0.744,1,0.546,73.1,0.163,0.46,4.8,0.124,2.2,1
P_000005,16.197353,81.365193,5939.7,2.65,175.12,-0.0154,36.93,3.28,1327.0,846.4,145.7,14.2,298.0,123.1,33.0,23.3,42.7,19.4,6,0.124,1170.5,0.804,6,0.057,730.5,0.31,3.52,1.78,-0.0013,0.88,0
P_000006,29.166784,79.917054,5567.33,18.03,256.0,-0.1743,2.6,-1.31,365.3,245.6,33.0,217.9,95.1,554.1,7.9,0.6,15.2,14.5,8,0.736,472.8,0.835,4,0.105,897.9,0.239,6.58,11.34,0.1691,3.75,2
P_000007,24.236825,82.105746,4467.65,2.91,292.58,0.0046,27.09,3.6,3233.8,2859.3,23.0,14.6,146.1,47.8,33.0,28.7,37.4,8.7,2,0.261,966.3,0.813,2,0.036,834.1,0.627,9.41,1.47,-0.0042,3.3,2
P_000008,33.95747,96.189551,7603.31,1.75,341.07,-0.0745,21.17,-0.25,56.6,43.2,20.7,64.1,190.0,812.4,24.9,18.0,31.7,13.7,7,1.18,255.1,0.491,5,0.256,308.3,1.171,0.1,1.5,0.0242,1.78,1
P_000009,9.464717,69.272552,6373.86,8.82,92.27,-0.1905,9.52,-4.48,796.0,562.4,19.3,332.2,205.2,9.5,17.9,6.7,29.2,22.5,2,0.05,2840.8,0.583,3,0.046,787.2,0.167,7.02,6.35,-0.1903,2.31,1
P_000010,11.077771,82.290659,1421.99,57.43,57.07,0.0202,24.37,13.91,165.8,120.9,16.1,218.7,8.3,980.1,30.0,24.5,35.5,11.0,6,0.016,6814.4,0.633,7,0.018,584.7,1.487,9.52,9.23,0.017,4.6,3
P_000011,21.98833,88.383127,601.75,3.23,77.24,-0.1623,36.91,3.08,290.9,249.7,142.5,73.1,86.9,106.7,6.5,1.3,11.7,10.4,5,0.381,5766.3,0.467,1,0.447,399.5,0.022,0.94,0.22,-0.1583,0.87,0
P_000012,22.392559,83.789379,1490.36,21.44,354.57,0.0379,22.69,6.95,933.4,798.0,32.7,46.7,135.9,346.2,10.7,-0.8,22.2,23.0,5,0.502,209.6,0.468,2,0.169,4350.5,0.412,20.01,3.61,-0.0036,3.08,2
P_000013,27.935669,77.43713,838.25,55.87,103.05,0.1861,1.23,-9.46,1994.5,1517.8,16.3,6.4,35.5,901.6,25.6,20.6,30.6,10.0,1,0.587,1699.2,0.615,7,0.082,293.2,0.872,111.42,5.29,0.1813,8.43,4
P_000014,22.072413,83.75877,2696.52,3.01,30.93,-0.089,34.5,6.28,593.9,430.4,31.7,45.8,21.2,148.2,24.9,15.8,34.1,18.3,2,0.308,430.0,0.596,1,0.244,415.0,0.615,1.79,0.92,-0.0458,2.69,2
